## Question Label : Multiple Choice Question

Discrete random variables:

| Distribution | PMF ($f_X(k)$) | CDF ($F_X(x)$) | $E[X]$ | Var(X) |
|:---|:---|:---|:---|:---|
| Uniform(A) <br> A = {$a, a + 1, ..., b$} | $\frac{1}{n}$, $x = k$ <br> $n = b - a + 1$ <br> $k = a, a + 1, ..., b$ | $\begin{cases} 0 & x < 0 \\ \frac{k - a + 1}{n} & k \leq x < k + 1 \\ & k = a, a + 1, ..., b - 1, b \\ 1 & x \geq n \end{cases}$ | $\frac{a + b}{2}$ | $\frac{n^2 - 1}{12}$ |
| Bernoulli(p) | $\begin{cases} p & x = 1 \\ 1 - p & x = 0 \end{cases}$ | $\begin{cases} 0 & x < 0 \\ 1 - p & 0 \leq x < 1 \\ 1 & x \geq 1 \end{cases}$ | $p$ | $p(1 - p)$ |
| Binomial(n, p) |  $^nC_kp^k(1-p)^{n-k}$ <br> $k = 0, 1, ..., n$ | $\begin{cases} 0 & x < 0 \\ \sum_{i=0}^k ^nC_ip^i(1-p)^{n-i} & k \leq x < k + 1 \\ & k = 0, 1, ..., n \\ 1 & x \geq n \end{cases}$ | $np$ | $np(1 - p)$ |
| Geometric(p) | $\frac{(1 - p)^{k-1}p}{1 - p}$, <br> $k = 1, ..., \infty$ | $\begin{cases} 0 & x < 0 \\ 1 - (1 - p)^k & k \leq x < k + 1 \\ & k = 1, ..., \infty \\ 1 & x \geq n \end{cases}$ | $\frac{1}{p}$ | $\frac{1 - p}{p^2}$ |
| Poisson($\lambda$) | $\frac{e^{-\lambda}\lambda^k}{k!}$, <br> $k = 0, 1, ..., \infty$ | $\begin{cases} 0 & x < 0 \\ e^{-\lambda} \sum_{i=0}^k \frac{\lambda^i}{i!} & k \leq x < k + 1 \\ & k = 0, 1, ..., \infty \\ 1 & x \geq n \end{cases}$ | $\lambda$ | $\lambda$ |


Continuous random variables:

| Distribution | PDF ($f_X(k)$) | CDF ($F_X(x)$) | $E[X]$ | Var(X) |
|:---|:---|:---|:---|:---|
| Uniform[a, b] | $\frac{1}{b - a}$, $a \leq x \leq b$ | $\begin{cases} 0 & x \leq a \\ \frac{x - a}{b - a} & a < x < b \\ 1 & x \geq b \end{cases}$ | $\frac{a + b}{2}$ | $\frac{(b - a)^2}{12}$ |
| Exp($\lambda$) | $\lambda e^{-\lambda x}$, $x > 0$ | $\begin{cases} 0 & x \leq 0 \\ 1 - e^{-\lambda x} & x > 0 \end{cases}$ | $\frac{1}{\lambda}$ | $\frac{1}{\lambda^2}$ |
| Normal($\mu$, $\sigma^2$) | $\frac{1}{\sigma\sqrt{2\pi}}exp\left(-\frac{(x - \mu)^2}{2\sigma^2}\right)$, <br> $-\infty < x < \infty$ | No closed form | $\mu$ | $\sigma^2$ |
| Gamma($\alpha$, $\beta$) | $\frac{\beta^\alpha}{\Gamma(\alpha)}x^{\alpha-1}e^{-\beta x}$, $x > 0$ |  | $\frac{\alpha}{\beta}$ | $\frac{\alpha}{\beta^2}$ |
| Beta($\alpha$, $\beta$) | $\frac{\Gamma(\alpha + \beta)}{\Gamma(\alpha)\Gamma(\beta)}x^{\alpha-1}(1 - x)^{\beta-1}$, <br> $0 < x < 1$ |  | $\frac{\alpha}{\alpha + \beta}$ | $\frac{\alpha\beta}{(\alpha + \beta)^2(\alpha + \beta + 1)}$ |
